IgnoreStatement,IncludeSC,IncludeSCname,IncludeRate,IncludeRateName,IncludeRatePeriodNumber,IncludeSeasonName,ExcludeMap,IncludeMap,Geo,statementCharge/chargeName,typeCode,type,docNumber,dpsCaseNumber,datePublished,effectivePeriod/startDate,effectivePeriod/expectedEndDate,statementCharge/servicePeriod/startDate,statementCharge/servicePeriod/expectedEndDate,dpsCompanyId,dpsPscNumber,serviceType,iedrOrgAbbreviation,statementCharge/chargesComponent,statementCharge/chargeValue,measurementDefinition/unitOfMeasure,measurementDefinition/measurementSource,measurementInterval/mode,measurementInterval/kind,measurementInterval/per,measurementDefinition/calculationMethod,sourceURL,dataDownloadURL,generalRuleRefs
,1,Residential and Religious,1,rate 1,,,SC11,SC1,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.001,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,1,Residential and Religious,2,rate 2,,,SC11,SC1,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.001,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,1,Residential and Religious,3,rate 3,,,SC11,SC1,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.001,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,1,Residential and Religious,4,rate 4,,,SC11,SC1,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.001,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,2,Residential and Religious,1,rate 1,,,SC11,SC2,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.0007,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,2,General - Small,2,rate 2,,,SC11,SC2,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.0007,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,6,Public and Private Street Lighting,,,,,SC11,SC6,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.0001,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,12,Multiple Dwelling - Space Heating,1EO,rate 1 Energy Only,,,SC11,SC12,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,0.0005,kWh,energy,PERIOD,MONTH,1,by_metered_quantity,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,5,Electric Traction Systems,1,rate 1,,,SC11,SC5,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,-0.1,kW,demand,PERIOD,MONTH,1,max,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
,5,Electric Traction Systems,2,rate 2,1,Base,SC11,SC5,"H,I,J",CSRP & Term-Auto-DLM Component,DLM,Dynamic Load Management Surch,9,15-E-0751,5/17/24,6/1/24,,6/1/24,,3569014,10,Electric,CED,delivery,-0.1,kW,demand,PERIOD,MONTH,1,max,https://ets.dps.ny.gov/ets_web/search/searchSubmissionID.cfm?sub_id=2825845,https://ets.dps.ny.gov/ets_web/search/showPDF.cfm?G%3E%29S2%3DJ9JSBW%27%5EJK%28%21%5CSK4%3FXVAHQQ%3AW%2FLJ%5B%5E%3AICSBNKB%5FC%2A69NBFZ%0A,26.6
